#mpa_v30_CHOCOPhlAn_201901																																																																																																																																																																																																																																																																																																																																																								
clade_name	NCBI_tax_id	R0256-TSW-DNA	R0253-HHF-DNA	R0247-LSY-DNA	R0243-LSF-DNA	R0465-WKY	R0463-WLM	R0462-CKC	R0461-CYM	R0460-CWT	R0457-LXM	R0456-KMY	R0450-KHF	R0449-CLK	R0448-FSM	R0447-HPY	R0446-LSY	R0445-LYW	R0444-WCK	R0443-WWL	R0442-TYM	R0441-WCW	R0440-KKP	R0439-KWL	R0438-LWC	R0437-LKK	R0436-CLH	R0435-CKS	R0434-PLK	R0433-TFK	R0432-CKY	R0431-KSC	R0430-CKP	R0429-CNC	R0428-LCT	R0427-WSK	R0425-LOP	R0423-CTH	R0421-TYY	R0420-TCF	R0419-LWM	R0416-LMY	R0415-CWH	R0414-THY	R0413-LMF	R0412-LCK	R0411-LYK	R0410-CCL	R0409-MYT	R0408-CKS	R0407-CHC	R0406-LNF	R0405-CKS	R0404-CPL	R0403-WCM	R0402-LWC	R0401-CYW	R0400-WFY	R0399-SWY	R0398-LKW	R0397-LWS	R0396-MWT	R0395-WHK	R0394-MWK	R0393-SCK	R0392-AHL	R0391-HYM	R0390-LGK	R0389-HWK	R0388-LKK	R0387-HWM	R0385-CWY	R0384-LKM	R0383-NCF	R0382-LCW	R0381-CSH	R0380-LCW	R0379-LYF	R0376-WCY	R0375-FKM	R0374-YKH	R0373-FCK	R0372-LKM	R0371-WYM	R0369-WKC	R0366-HCW	R0365-CTS	R0364-LYK	R0363-CCL	R0362-PKW	R0361-FYS	R0360-LCW	R0359-WCL	R0358-HTM	R0357-CWY	R0356-NKC	R0355-SCK	R0354-CTM	R0353-LSY	R0352-HPC	R0351-CKC	R0350-YKC	R0349-CMK	R0348-LKC	R0347-KKS	R0346-LHH	R0345-LKL	R0344-LSC	R0343-CWH	R0342-CMS	R0341-TKW	R0340-CCY	R0339-LHB	R0338-LXL	R0337-HLF	R0336-CCM	R0335-WSF	R0334-MBK	R0333-CTK	R0332-TYK	R0331-MKL	R0330-CLK	R0329-CTK	R0327-SKP	R0326-CCM	R0324-LWC	R0322-WMK	R0321-CCS	R0320-CCW	R0319-SSH	R0318-KHT	R0317-CWP	R0316-LKH	R0315-TPK	R0314-LWC	R0312-LKP	R0311-WKY	R0310-YKM	R0309-LKC	R0308-HKY	R0307-SCW	R0306-YSK-F	R0305-LCM	R0304-CSP-M	R0303-LCW-M	R0302-CCY-F	R0301-LST-F	R0300-CLW-F	R0299-KSF-M	R0298-LTS-M	R0297-SKM-F	R0296-TSY-DNA	R0295-KKL-DNA	R0294-MWH-DNA	R0293-WMK-DNA	R0292-WSH	R0291-KSF-DNA	R0290-CDS-DNA	R0289-TT-DNA	R0288-LWK-DNA	R0287-CKM-DNA	R0286-WK-DNA	R0285-CTY-DNA	R0284-CCK-DNA	R0283-LKC-DNA	R0282-IWL-DNA	R0281-ISC-DNA	R0280-FCL-DNA	R0279-CSK-DNA	R0278-WSK-DNA	R0277-CSH-DNA	R0276-LLS-DNA	R0275-PYD-DNA	R0274-MYK-DNA	R0273-KYM-DNA	R0272-LSY-DNA	R0271-YKP-DNA	R0270-WKM-DNA	R0269-HHF-DNA	R0268-TLW-DNA	R0267-CTY-DNA	R0266-MFH-DNA	R0264-YKN-DNA	R0262-ILC-DNA	R0261-TLS-DNA	R0259-TSC-DNA	R0258-LYW-DNA	R0257-LKC	R0255-KT-DNA	R0254-CYC	R0252-TLP-DNA	R0251-CSY-DNA	R0250-WKM-DNA	R0249-CLL-DNA	R0248-HPM-DNA	R0246-WK-DNA	R0245-CYY-DNA	R0244-CKL-DNA	R0242-CKS-DNA	R0241-TD-DNA	R0240-CKW-DNA	R0238-YMH-DNA	R0237-HKM-DNA	R0236-LYS-DNA	R0235-CYL-DNA	R0234-CMY-DNA	R0233-COK-DNA	R0232-CHC-DNA	R0231-TWL-DNA	R0229-HHW-DNA	R0228-WTS-DNA	R0227-KKC-DNA	R0226-SKL-DNA	R0225-WMY-DNA	R0224-TYM-DNA	R0223-MKM-DNA	R0222-MYK-DNA	R0221-WKY-DNA	R0220-HKW	R0217-TYM-DNA	R0216-CCW-DNA	R0213-FKK-DNA	R0212-LSF-DNA	R0211-YYM-DNA	R0210-NSL-DNA	R0209-TCF-DNA	R0208-YLF-DNA	R0207-TKS-DNA	R0206-LKW-DNA	R0204-CWM-DNA	R0203-YCK-DNA	R0202-CYM-DNA	R0201-YMY-DNA	R0200-FWN-DNA	R0199-SKL-DNA	R0198-TCY-DNA	R0197-TSH-DNA	R0194-TMK-DNA	R0193-CYL-DNA	R0192-CWL-DNA	R0191-HWS-DNA	R0190-WTT-DNA	R0188-YYF-DNA	R0184-CSM-DNA	R0183-GJL-DNA	R0182-CLY	R0180-YLK-DNA	R0179-CMH-DNA	R0178-PCW-DNA	R0176-TMH-DNA	R0174-YSW-DNA	R0173-CSS-DNA	R0170-WSK-DNA	R0169-WSF-DNA	R0166-LLS	R0165-LYH	R0164-CYP	R0163-KSP	R0162-WLS	R0161-WFT-DNA	R0157-TSW-DNA	R0155-HYW	R0153-LLM	R0152-WHY	R0148-CFP-DNA	R0145-YMC	R0144-CMS	R0143-YML	R0142-CKM	R0141-WKM	R0140-LNS	R0138-LMK	R0136-TKF	R0135-WKL	R0134-LWC-DNA	R0131LFL-DNA	R0130-CWF	R0129-WWK	R0127-CMC	R0120-TKC	R0119-HKC-DNA	R0118-LYF	R0117-PLS	R0116-LSY	R0115-LYW	R0114-LLY	R0112-CSF	R0111-LKB	R0110-LPH-DNA	R0109-YLK	R0108-LLK	R0106-LWB-DNA	R0102-WYH-DNA	R0101-HFP-F	R0100-CCS-DNA	R0099-CFM	R0095-TKK-DNA	R0094-NFH	R0091-NYH	R0090-KML	R0089-WWW	R0088-YCL	R0085-YYM-DNA	R0084-WHL	R0083-TML-DNA	R0082-LPW-DNA	R0075-LKF	R0071-LLP-DNA	R0070-TKS-DNA	R0069-NHC-DNA	R0067-HWK-DNA	R0066-TLC-DNA	R0064-LWY	R0063-LYM-DNA	R0062-HYM-DNA	R0061-TCT-DNA	R0060-LQX-DNA	R0057-WMY-DNA	R0054-CSY	R0052-WCW-DNA	R0049-CMK-DNA	R0047-KMC	R0046-TRM	R0043-PKH-DNA	R0042-HCF	R0041-LKC	R0039-LSC-DNA	R0038-CYL-DNA	R0035-CSY	R0033-LCK-DNA	R0032-WSW-DNA	R0027-CMT-DNA	R0026-WWK-DNA	R0024-SL-DNA	R0022-TWP-DNA	R0021-WKH-DNA	R0019-LLL-DNA	R0018-LKC-DNA	R0017-LLP-DNA	R0016-CMW	R0015-MSW-DNA	R0012-CWC	R0005-LMF-DNA	R0003-CPK-DNA
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_falsenii	2|201174|1760|85007|1653|1716|108486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales_unclassified	2|201174|1760|85007|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales_unclassified|g__Lawsonella	2|201174|1760|85007||1847725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales_unclassified|g__Lawsonella|s__Lawsonella_clevelandensis	2|201174|1760|85007||1847725|1528099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00256	0	0.00133	0	0.01254	0.02503	0.15828	0.03019	0.00485	0.00246	0.24897	0	0	0.01982	0	0	0.00292	0.04482	0.01976	0	0.18862	0.00072	0	0	0	0	0.00118	0	0	0.00758	0	0.01042	0.0275	0.07281	0	0.01142	0.03006	0	0	0	0.00848	0	0.00158	0	0.00512	0.005	0.01613	0	0	0.02091	0.25278	0.00385	0	0	0	0.02374	0.27922	0	0.03151	0	0	0.02247	0.00467	0	0.00994	0	0	0	0.00807	0.01275	0	0.01613	0.01273	0.00124	0.00326	0.00963	0	0.01462	0	0	0.00188	0	0.00947	0.0459	0.0025	0.01125	0.01059	0	0	0.00052	0	0.02872	0.00792	0	0	0.00162	0.00189	0	0	0.05023	0	0.05545	0.24738	0	0.00461	0	0	0.03484	0.00854	0	0.00936	0	0.00691	0.01074	0.00631	0.00256	0	0.00031	0	0	0.00302	0.00095	0.00352	0.00027	0.01002	0	0	0	0.01943	0.03149	0	0.01955	0.0027	0.01689	0.02157	0.03758	0.38016	0.00805	0.02142	0.04332	0.0027	0	0.00428	0	0	0	0	0	0	0.00637	0	0	0	0	0.03845	0	0	0.00283	0	0	0	0.12287	0	0.01798	0	0.04065	0	0.01707	0.00267	0.01756	0.03254	0.006	0	0.01188	0.00105	0.03106	0.14469	0.00334	0	0.00393	0.04719	0.01684	0.27848	0.02272	0.00915	0	0.06189	0	0	0	0.00028	0.00162	0.00366	0.02311	0.00243	0.00861	0	0	0	0	0	0.00138	0.00748	0	0	0.08729	0	0.01559	0	0	0	0.02206	0	0	0	0	0.01309	0	0.03022	0.02965	0	0	0	0	0.01879	0.00741	0.0142	0.05483	0	0.0069	0	0	0.00119	0.00905	0	0.00083	0	0	0.03985	0	0	0	0.00135	0.05228	0.0081	0.02057	0.01603	0	0	0.04568	0	0	0.07857	0	0	0.01012	0.0951	0.00115	0.00018	0	0.00359	0.01703	0.01004	0.06944	0.04863	0	0.00013	0	0	0.00183	0	0	0.01237	0.00129	0	0	0.02231	0.00268	0.00464	0.00187	0	0.01092	0.0325	0.00086	0.04401	0.00187	0.01679	0.00771	0	0.02617	0.00594	0.00073	0	0.00237	0	0.09655	0.00866	0.00928	0	0	0	0.01761	0.00169	0	0	0	0.00977	0	0.0109	0	0.00507	0.00883	0.14303	0	0	0	0.00993	0	0	0	0.0851	0.0016	0	0.01009	0	0	0	0	0.054	0.05892	0.00721	0.0728	0	0	0	0	0	0	0.00056	0	0.00637	0.03125	0.00102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Clavibacter	2|201174|1760|85006|85023|1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Clavibacter|s__Clavibacter_michiganensis	2|201174|1760|85006|85023|1573|28447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	0.00256	0	0.00133	0	0.01254	0.02503	0.15828	0.03019	0.00485	0.00246	0.24897	0	0	0.01982	0	0	0.00292	0.04482	0.01976	0	0.18862	0.00072	0	0	0	0	0.00118	0	0	0.00758	0	0.01042	0.0275	0.07281	0	0.01142	0.03006	0	0	0	0.00848	0	0.00158	0	0.00512	0.005	0.01613	0	0	0.02091	0.25278	0.00385	0	0	0	0.02374	0.27922	0	0.03151	0	0	0.02247	0.00467	0	0.00994	0	0	0	0.00807	0.01275	0	0.01613	0.01273	0.00124	0.00326	0.00963	0	0.01462	0	0	0.00188	0	0.00947	0.0459	0.0025	0.01125	0.01059	0	0	0.00052	0	0.02872	0.00792	0	0	0.00162	0.00189	0	0	0.05023	0	0.05545	0.24738	0	0.00461	0	0	0.03484	0.00854	0	0.00936	0	0.00691	0.01074	0.00631	0.00256	0	0.00031	0	0	0.00302	0.00095	0.00352	0.00027	0.01002	0	0	0	0.01943	0.03149	0	0.01955	0.0027	0.01689	0.02157	0.03758	0.38016	0.00805	0.02142	0.04332	0.0027	0	0.00428	0	0	0	0	0	0	0.00637	0	0	0	0	0.03845	0	0	0.00283	0	0	0	0.00666	0	0.01798	0	0.04065	0	0.01707	0.00267	0.01756	0.03254	0.006	0	0.01188	0.00105	0.03106	0.14469	0.00334	0	0.00393	0.04719	0.01684	0.27848	0.02272	0.00915	0	0.06189	0	0	0	0.00028	0.00162	0.00366	0.02311	0.00243	0.00861	0	0	0	0	0	0.00138	0.00748	0	0	0	0	0.01559	0	0	0	0.02206	0	0	0	0	0.01309	0	0.03022	0.02965	0	0	0	0	0.01879	0.00741	0.0142	0.05483	0	0.0069	0	0	0.00119	0.00905	0	0.00083	0	0	0.03985	0	0	0	0.00135	0.05228	0.0081	0.02057	0.01603	0	0	0.04568	0	0	0.07857	0	0	0.01012	0.0951	0.00115	0.00018	0	0.00359	0.01703	0.01004	0.06944	0.04863	0	0.00013	0	0	0.00183	0	0	0.01237	0.00129	0	0	0.02231	0.00268	0.00464	0.00187	0	0.01092	0.0325	0.00086	0.04401	0.00187	0.01679	0.00771	0	0.02617	0.00594	0.00073	0	0.00237	0	0.09655	0.00866	0.00928	0	0	0	0.01761	0.00169	0	0	0	0.00977	0	0.0109	0	0.00507	0.00883	0.14303	0	0	0	0.00993	0	0	0	0.0851	0.0016	0	0.01009	0	0	0	0	0.054	0.05892	0.00721	0.0728	0	0	0	0	0	0	0.00056	0	0.00637	0.03125	0.00102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria	2|201174|1760|85006|1268|57493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00977	0	0	0	0	0.00883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_kristinae	2|201174|1760|85006|1268|57493|37923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00977	0	0	0	0	0.00883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
